wavelength,AF_CsPbI3,AF_FA0.25Cs0.75PbI3,AF_FA0.5Cs0.5PbI3,AF_FA0.75Cs0.25PbI3,AF_FAPbI3,TF_Cs0.25FA0.75PbI3,TF_Cs0.5FA0.5PbI3,TF_Cs0.75FA0.25PbI3,TF_CsPbI3_avg,TF_CsPbI3_black phase,TF_CsPbI3_yellow phase,TF_FAPbI3
927.26,1132.6911400000001,986.617152,1113.0762,1244.79326,1306.75814,1194.0874,1190.8147,1205.6255,1226.7778,1182.0,1135.0,1170.2788
929.48,1138.08096,988.805092,1101.6,1249.7019400000001,1305.42912,1199.4901,1193.7821,1207.5793,1227.7524,1145.0,1331.0,1174.0972
931.71,1133.33104,992.121398,1114.281,1247.87186,1308.6544600000002,1202.4229,1197.9685,1209.7773,1230.8444,1251.0,1332.0,1178.6459
933.94,1141.79796,994.4850999999999,1110.0428,1250.23802,1305.50226,1205.9457,1199.0018,1214.1401,1230.7493,1157.0,1210.0,1182.1079
936.16,1141.08638,997.26847,1104.4738,1258.51912,1304.7478999999998,1205.0072,1201.4542,1212.7528,1231.352,1212.0,1161.0,1187.6394
938.39,1142.0072,996.4711800000001,1107.3096,1256.88832,1303.71814,1208.4243,1204.6179,1216.6616,1234.2223,1170.0,1263.0,1190.9028
940.62,1146.2627,1003.9324,1107.0262,1257.40318,1303.74198,1214.7798,1206.65,1220.567,1236.0876,1174.0,1268.0,1197.4493
942.85,1144.8341,1007.2790860000001,1108.6333,1260.85252,1302.5788400000001,1218.673,1212.3845,1223.1583,1240.3925,1332.0,1330.0,1202.2767
945.08,1147.8225,1004.3768100000001,1101.7928,1269.4378000000002,1305.21628,1217.0985,1214.6577,1226.2817,1241.974,1172.0,1433.0,1201.7058
947.32,1148.40732,1006.5971300000001,1101.5571,1270.46416,1299.475,1220.1967,1213.0615,1226.982,1239.8928,1221.0,1275.0,1205.4117
949.54,1150.5519,1011.605184,1104.6571,1271.8161,1297.9451199999999,1223.6122,1217.1438,1228.2852,1242.2384,1086.0,1302.0,1209.0997
951.78,1153.27102,1016.07621,1111.5238,1270.0417400000001,1302.34214,1224.285,1218.4344,1232.4875,1242.7046,1205.0,1385.0,1213.7614
954.02,1154.47804,1006.6973600000001,1118.6,1271.21168,1294.53636,1225.4865,1221.796,1231.5323,1243.6556,1295.0,1369.0,1216.5923
956.25,1157.80348,1017.571464,1104.9095,1272.18292,1297.4488000000001,1227.895,1224.6165,1236.1371,1247.1709,1041.0,1369.0,1219.4211
958.48,1157.5238,1020.9973,1122.1428,1273.9801,1295.9901,1231.8583,1230.2126,1242.1273,1249.3936,1135.0,1356.0,1227.9517
960.72,1162.38628,1020.8275600000001,1121.3096,1278.32888,1294.85236,1233.5605,1229.0131,1244.477,1248.2865,1317.0,1328.0,1228.2594
